חברה,שם,קטגוריה,אתר אינטרנט,כתובת,טלפון,קניות אונליין,אזור,חדש,latitude,longitude
INTIMA,קניון איילון,הלבשה תחתונה,www.intima-il.co.il,"רמת גן, אבא הילל סילבר 301",03-6196094,N,מרכז,N,32.10036251566812,34.82687731587306
INTIMA,קניון רננים,הלבשה תחתונה,www.intima-il.co.il,"רעננה, המלאכה 2",073-7096617,N,שרון,N,32.19796292240676,34.8806733973547
INTIMA,קניון רמת אביב,הלבשה תחתונה,www.intima-il.co.il,"תל-אביב, איינשטיין 40",073-7096624,N,מרכז,N,32.11225453048328,34.795882530483276
INTIMA,גן העיר,הלבשה תחתונה,www.intima-il.co.il,"תל-אביב, אבן גבירול 71",03-5279330,N,מרכז,N,32.08286428330627,34.78137736295926
INTIMA,ביג ראשון לציון,הלבשה תחתונה,www.intima-il.co.il,"ראשון לציון, מכבים 62",073-7093351,N,מרכז,N,31.986595,34.811491000000004
INTIMA,קניון מרום סנטר,הלבשה תחתונה,www.intima-il.co.il,"רמת גן, חיים לנדאו 7",073-7096628,N,מרכז,N,32.071902,34.828813000000004
INTIMA,INTIMA,הלבשה תחתונה,www.intima-il.co.il,"רמת השרון, סוקולוב 609",03-5497269,N,שרון,N,32.145120,34.838305
INTIMA,INTIMA,הלבשה תחתונה,www.intima-il.co.il,"תל-אביב, מנחם בגין 116",03-5623539,N,מרכז,N,32.070877,34.78936
INTIMA,הדר יוסף,הלבשה תחתונה,www.intima-il.co.il,"תל-אביב, פנחס רוזן 57",03-6451526,N,מרכז,N,32.113274,34.825340000000004
INTIMA,מגדל שלום,הלבשה תחתונה,www.intima-il.co.il,"תל-אביב, אחד העם 9",073-7096348,N,מרכז,N,32.063592,34.769587
INTIMA,בית הטכסטיל,הלבשה תחתונה,www.intima-il.co.il,"תל-אביב, קויפמן 2",03-5161482,N,מרכז,N,32.063186,34.761946
INTIMA,קניון צמרת,הלבשה תחתונה,www.intima-il.co.il,"תל-אביב, ניסים אלוני 10",073-7096612,N,מרכז,N,32.088866,34.797451
INTIMA,מתחם ONE,הלבשה תחתונה,www.intima-il.co.il,"גן שמואל, כביש 65 סמוך לקיבוץ גן שמואל",04-6213817,N,צפון,N,32.452911,34.949426
INTIMA,קניון שבירו,הלבשה תחתונה,www.intima-il.co.il,"כפר סבא, רפפורט 3",,N,שרון,N,32.192452,34.892011000000004
INTIMA,בני דרור,הלבשה תחתונה,www.intima-il.co.il,"נתניה, צומת בני דרור",073-7096615,N,שרון,N,32.260003,34.893887
INTIMA,מתחם שפיים,הלבשה תחתונה,www.intima-il.co.il,"שפיים, מתחם שפיים",09-9504785,N,שרון,N,32.216586,34.822524
INTIMA,קניון אחים ישראל,הלבשה תחתונה,www.intima-il.co.il,"ירושלים, יד חרוצים 18",073-7096302,N,ירושלים,N,31.75106,35.216096
INTIMA,כיכר ציון,הלבשה תחתונה,www.intima-il.co.il,"ירושלים, יפו 44",073-7096636,N,ירושלים,N,31.782018,35.219813
INTIMA,קניון מלכת שבא,הלבשה תחתונה,www.intima-il.co.il,"אילת, אנטיב 8",073-7096603,N,אילת,N,29.550602,34.962376
INTIMA,קניון חוצות,הלבשה תחתונה,www.intima-il.co.il,"אשקלון, שד' בן גוריון 1",08-6754157,N,דרום,N,31.660487,34.589609
INTIMA,INTIMA,הלבשה תחתונה,www.intima-il.co.il,"חיפה, העצמאות 61",073-7091055,N,צפון,N,32.820631,34.997653
INTIMA,מרכז קונגרסים,הלבשה תחתונה,www.intima-il.co.il,"חיפה, קדושי יאסי 2",073-7093319,N,צפון,N,32.790951,34.964692
INTIMA,געתון,הלבשה תחתונה,www.intima-il.co.il,"נהריה, שד' הגעתון 23",04-9512996,N,צפון,N,33.006363,35.095172000000005
INTIMA,קניון ארנה,הלבשה תחתונה,www.intima-il.co.il,"נהריה, שדרות הנשיא בן צב 2, נהריה",,N,צפון,N,33.006116,35.106144
INTIMA,קניון לב העיר,הלבשה תחתונה,www.intima-il.co.il,"נצרת, דרך החטיבות",04-6463263,N,צפון,N,32.698293,35.311925
INTIMA,סניף תל חנן,הלבשה תחתונה,www.intima-il.co.il,"תל חנן, תל חנן",04-8204195,N,צפון,N,32.775706,35.041581
PET EAT,חנות אינטרנטית,חיות מחמד,peteat.co.il,", ",,Y,מרכז,N,0.00017208618778804716,-0.000465190653359004
מחמדי ,מודיעין ,חיות מחמד,,"מודיעין, יגאל ידין 51",050-7723772,N,ירושלים,N,31.903049,35.004310
מלך האריות ,כפר סבא ,חיות מחמד,www.lionking.co.il/,"כפר סבא, התע""ש 28 אזור תעשיה",1-700-500-321,N,שרון,N,32.178102,34.927940
מלך האריות ,כפר סבא ,חיות מחמד,www.lionking.co.il/,"כפר סבא, ששת הימים 42",1700500321,N,שרון,N,32.176831,34.893603
מלך האריות ,פתח תקווה ,חיות מחמד,www.lionking.co.il/,"פתח תקווה, ז'בוטינסקי 105",1700500321,N,מרכז,N,32.092450,34.853272
מלך האריות ,אריאל ,חיות מחמד,www.lionking.co.il/,"אריאל, המלאכה 4 אזור התעשייה",1700500321,N,שרון,N,32.101170,35.168383
מלך האריות ,חדרה,חיות מחמד,www.lionking.co.il/,"חדרה, חטיבת הנח""ל 4",1700500321,N,צפון,N,32.432225,34.928213
מלך האריות ,חולון,חיות מחמד,www.lionking.co.il/,"חולון, המלאכה 39 אזור התעשייה",1700500321,N,מרכז,N,32.015293,34.800422
