חברה,שם,קטגוריה,אתר אינטרנט,כתובת,טלפון,קניות אונליין,אזור,חדש,latitude,longitude
נעמן פורצלן,קניון חוצות המפרץ,אביזרי מטבח,www.naamanp.co.il,"קרית חיים, החרושת 5 צומת וולקן",04-8418349,N,צפון,N,32.80638844007948,35.05495444007948
נעמן פורצלן,סטאר סנטר,אביזרי מטבח,www.naamanp.co.il,"אשדוד, יהודה הלוי פינת בלפור 9",08-9709804,N,דרום,N,31.797923440079476,34.64850855992052
נעמן פורצלן,באר שבע ביג,אביזרי מטבח,www.naamanp.co.il,"באר שבע, דרך חברון 21",08-6652972,N,דרום,N,31.243724515832877,34.80984296927665
נעמן פורצלן,באר שבע גרנד,אביזרי מטבח,www.naamanp.co.il,"באר שבע, שד' דוד טוביהו 125",08-8504306,N,דרום,N,31.252436611053746,34.768690370796264
נעמן פורצלן,בית שמש ביג,אביזרי מטבח,www.naamanp.co.il,"בית שמש, יגאל אלון 3",02-5828403,N,ירושלים,N,31.756142485020206,34.98734193040982
נעמן פורצלן,קניון בת ים,אביזרי מטבח,www.naamanp.co.il,"בת-ים, יוספטל 92",03-5534038,N,מרכז,N,32.015454037467784,34.75528248909769
נעמן פורצלן,קניון לב חדרה,אביזרי מטבח,www.naamanp.co.il,"חדרה, רוטשילד 40",04-6220103,N,צפון,N,32.43722188383863,34.92111053237403
נעמן פורצלן,חיפה עזריאלי,אביזרי מטבח,www.naamanp.co.il,"חיפה, משה פלימן 4",04-8502522,N,צפון,N,32.789455999999994,34.965066
נעמן פורצלן,טבריה ביג פאשן,אביזרי מטבח,www.naamanp.co.il,"טבריה, יהודה הלוי 1",04-6043748,N,צפון,N,32.79039695850636,35.533770742529796
נעמן פורצלן,ירושלים סנטר,אביזרי מטבח,www.naamanp.co.il,"ירושלים, ירמיהו 43",02-5384178,N,ירושלים,N,31.7902572013072,35.200705
נעמן פורצלן,נהריה,אביזרי מטבח,www.naamanp.co.il,"נהריה, אירית 2 שכונת עין שרה",04-8113545,N,צפון,N,32.989992,35.094943
נעמן פורצלן,נתניה קניון השרון,אביזרי מטבח,www.naamanp.co.il,"נתניה, הרצל 60",09-8333271,N,שרון,N,32.32665135127296,34.86179574515829
נעמן פורצלן,פתח תקווה אבנת,אביזרי מטבח,www.naamanp.co.il,"פתח תקווה, ז'בוטינסקי 72",03-9214559,N,מרכז,N,32.093054706801375,34.86554222521429
